feature,phishing_score,log_prob_phishing,log_prob_normal
 보,1.1810594727160293,7.883144763243498,6.702085290527469
내드,1.169695714065714,9.241268247396693,8.07157253333098
본인 ,1.169695714065714,9.646733355504857,8.477037641439143
 있는,1.169695714065714,8.953586174944911,7.7838904608791974
원을 ,1.169695714065714,9.646733355504857,8.477037641439143
 본인 ,1.169695714065714,9.646733355504857,8.477037641439143
통해,1.169695714065714,9.241268247396693,8.07157253333098
원을,1.169695714065714,9.646733355504857,8.477037641439143
 통해,1.169695714065714,9.241268247396693,8.07157253333098
정보,1.1619736679718038,8.873543467271375,7.711569799299571
 필,1.159645378212213,9.135907731738866,7.9762623535266535
내가 ,1.1553069766136161,9.4925826756776,8.337275699063984
 채,1.1553069766136161,9.4925826756776,8.337275699063984
 내가 ,1.1553069766136161,9.4925826756776,8.337275699063984
 내가,1.1553069766136161,9.4925826756776,8.337275699063984
내가,1.1553069766136161,9.4925826756776,8.337275699063984
하세요.,1.1553069766136161,9.4925826756776,8.337275699063984
 생,1.1443779060814254,9.359051283053077,8.214673376971652
게 ,1.1357941623900318,8.142655958728582,7.00686179633855
입금자명,1.1288737195454601,9.829054912298812,8.700181192753352
금자명은,1.1288737195454601,9.829054912298812,8.700181192753352
 이체키,1.1288737195454601,9.829054912298812,8.700181192753352
 와있,1.1288737195454601,9.829054912298812,8.700181192753352
 민망한,1.1288737195454601,9.829054912298812,8.700181192753352
 이체가,1.1288737195454601,9.829054912298812,8.700181192753352
 민망,1.1288737195454601,9.829054912298812,8.700181192753352
 이게,1.1288737195454601,9.829054912298812,8.700181192753352
입금자,1.1288737195454601,9.829054912298812,8.700181192753352
 해서,1.1288737195454601,9.829054912298812,8.700181192753352
이요..,1.1288737195454601,9.829054912298812,8.700181192753352
증서가,1.1288737195454601,9.829054912298812,8.700181192753352
와있거,1.1288737195454601,9.829054912298812,8.700181192753352
급. ,1.1288737195454601,9.829054912298812,8.700181192753352
급.,1.1288737195454601,9.829054912298812,8.700181192753352
 드릴게,1.1288737195454601,9.829054912298812,8.700181192753352
3만원,1.1288737195454601,9.829054912298812,8.700181192753352
삼가,1.1288737195454601,9.829054912298812,8.700181192753352
와있,1.1288737195454601,9.829054912298812,8.700181192753352
 드릴,1.1288737195454601,9.829054912298812,8.700181192753352
명은 ,1.1288737195454601,9.829054912298812,8.700181192753352
 은행이,1.1288737195454601,9.829054912298812,8.700181192753352
 해서 ,1.1288737195454601,9.829054912298812,8.700181192753352
지급.,1.1288737195454601,9.829054912298812,8.700181192753352
지급. ,1.1288737195454601,9.829054912298812,8.700181192753352
551,1.1288737195454601,9.829054912298812,8.700181192753352
일본에,1.1288737195454601,9.829054912298812,8.700181192753352
일본,1.1288737195454601,9.829054912298812,8.700181192753352
제꺼,1.1288737195454601,9.829054912298812,8.700181192753352
